continent,date,new_cases,stringency_index,total_cases
Africa,2020-01-01,0,0.0,0
Africa,2020-01-02,0,0.0,0
Africa,2020-01-03,0,0.0,0
Africa,2020-01-04,0,0.0,0
Africa,2020-01-05,0,0.0,0
Africa,2020-01-06,0,0.0,0
Africa,2020-01-07,0,0.0,0
Africa,2020-01-08,0,0.0,0
Africa,2020-01-09,0,0.0,0
Africa,2020-01-10,0,0.0,0
Africa,2020-01-11,0,0.0,0
Africa,2020-01-12,0,0.0,0
Africa,2020-01-13,0,0.0,0
Africa,2020-01-14,0,0.0,0
Africa,2020-01-15,0,0.0,0
Africa,2020-01-16,0,0.0,0
Africa,2020-01-17,0,0.0,0
Africa,2020-01-18,0,0.0,0
Africa,2020-01-19,0,0.0,0
Africa,2020-01-20,0,0.0,0
Africa,2020-01-21,0,0.0,0
Africa,2020-01-22,0,0.0,0
Africa,2020-01-23,0,0.0,0
Africa,2020-01-24,0,0.0,0
Africa,2020-01-25,0,0.0,0
Africa,2020-01-26,0,0.0,0
Africa,2020-01-27,0,0.0,0
Africa,2020-01-28,0,0.0,0
Africa,2020-01-29,0,0.0,0
Africa,2020-01-30,0,0.0,0
Africa,2020-01-31,0,0.0,0
Africa,2020-02-01,0,0.0,0
Africa,2020-02-02,0,0.0,0
Africa,2020-02-03,0,0.0,0
Africa,2020-02-04,0,0.0,0
Africa,2020-02-05,0,0.0,0
Africa,2020-02-06,0,0.0,0
Africa,2020-02-07,0,2.78,0
Africa,2020-02-08,0,2.78,0
Africa,2020-02-09,0,2.78,0
Africa,2020-02-10,0,2.78,0
Africa,2020-02-11,0,2.78,0
Africa,2020-02-12,0,2.78,0
Africa,2020-02-13,0,2.78,0
Africa,2020-02-14,1,2.78,1
Africa,2020-02-15,0,2.78,1
Africa,2020-02-16,0,2.78,1
Africa,2020-02-17,0,2.78,1
Africa,2020-02-18,0,2.78,1
Africa,2020-02-19,0,2.78,1
Africa,2020-02-20,0,2.78,1
Africa,2020-02-21,0,2.78,1
Africa,2020-02-22,0,2.78,1
Africa,2020-02-23,0,2.78,1
Africa,2020-02-24,0,2.78,1
Africa,2020-02-25,1,2.78,2
Africa,2020-02-26,0,2.78,2
Africa,2020-02-27,0,2.78,2
Africa,2020-02-28,1,13.889999999999999,3
Africa,2020-02-29,0,13.889999999999999,3
Africa,2020-03-01,1,13.889999999999999,4
Africa,2020-03-02,4,13.889999999999999,8
Africa,2020-03-03,3,13.889999999999999,11
Africa,2020-03-04,10,38.9,21
Africa,2020-03-05,3,55.57,24
Africa,2020-03-06,19,69.46,43
Africa,2020-03-07,0,69.46,43
Africa,2020-03-08,40,69.46,83
Africa,2020-03-09,8,72.24000000000001,91
Africa,2020-03-10,13,83.35,104
Africa,2020-03-11,14,94.46000000000001,118
Africa,2020-03-12,16,147.24,134
Africa,2020-03-13,42,219.45,176
Africa,2020-03-14,78,459.7,254
Africa,2020-03-15,59,538.41,313
Africa,2020-03-16,87,826.38,400
Africa,2020-03-17,84,983.81,484
Africa,2020-03-18,116,1177.79,600
Africa,2020-03-19,180,1370.3899999999999,780
Africa,2020-03-20,188,1716.23,968
Africa,2020-03-21,204,1999.56,1172
Africa,2020-03-22,265,2131.97,1437
Africa,2020-03-23,381,2399.55,1818
Africa,2020-03-24,432,2505.11,2250
Africa,2020-03-25,523,2662.52,2773
Africa,2020-03-26,553,2803.25,3326
Africa,2020-03-27,559,3025.49,3885
Africa,2020-03-28,340,3120.86,4225
Africa,2020-03-29,560,3216.22,4785
Africa,2020-03-30,411,3447.68,5196
Africa,2020-03-31,585,3537.5,5781
Africa,2020-04-01,599,3565.2799999999997,6380
Africa,2020-04-02,651,3599.54,7031
Africa,2020-04-03,882,3603.24,7913
Africa,2020-04-04,679,3618.05,8592
Africa,2020-04-05,706,3726.38,9298
Africa,2020-04-06,701,3731.0099999999998,9999
Africa,2020-04-07,633,3731.0099999999998,10632
Africa,2020-04-08,804,3761.57,11436
Africa,2020-04-09,812,3776.39,12248
Africa,2020-04-10,663,3785.65,12911
Africa,2020-04-11,716,3796.7599999999998,13627
Africa,2020-04-12,864,3816.2,14491
Africa,2020-04-13,774,3874.54,15265
Africa,2020-04-14,970,3885.65,16235
Africa,2020-04-15,957,3897.23,17192
Africa,2020-04-16,1168,3899.09,18360
Africa,2020-04-17,1406,3909.27,19766
Africa,2020-04-18,1306,3928.72,21072
Africa,2020-04-19,1209,3914.83,22281
Africa,2020-04-20,1158,3883.35,23439
Africa,2020-04-21,1070,3883.35,24509
Africa,2020-04-22,1402,3881.5,25911
Africa,2020-04-23,1438,3872.24,27349
Africa,2020-04-24,1719,3856.96,29068
Africa,2020-04-25,1231,3856.96,30299
Africa,2020-04-26,1534,3853.26,31833
Africa,2020-04-27,1334,3848.63,33167
Africa,2020-04-28,1627,3848.63,34794
Africa,2020-04-29,2013,3848.63,36807
Africa,2020-04-30,1946,3848.63,38753
Africa,2020-05-01,1726,3831.96,40479
Africa,2020-05-02,2228,3845.84,42707
Africa,2020-05-03,1594,3856.95,44301
Africa,2020-05-04,2658,3812.97,46959
Africa,2020-05-05,2038,3777.79,48997
Africa,2020-05-06,2546,3755.56,51543
Africa,2020-05-07,2490,3750.01,54033
