"","state","date","daily_newcase","total_doses","daily_doses","transcript_sentiment_positive","transcript_sentiment_neutral","transcript_sentiment_negative","avr_positive_tweet_sentiment","avr_neutral_tweet_sentiment","avr_negative_tweet_sentiment"
"1","VIC",2021-09-05,183,5279160,0,NA,NA,NA,NA,NA,NA
"2","VIC",2021-09-04,189,5279160,79351,NA,NA,NA,NA,NA,NA
"3","VIC",2021-09-03,208,5199809,78632,NA,NA,NA,NA,NA,NA
"4","VIC",2021-09-02,175,5121177,81683,NA,NA,NA,NA,NA,NA
"5","VIC",2021-09-01,119,5039494,105018,NA,NA,NA,0.237682926829268,0.288292682926829,0.474024390243902
"6","VIC",2021-08-31,73,4934476,41690,NA,NA,NA,0.158480662983425,0.245055248618785,0.59646408839779
"7","VIC",2021-08-30,72,4892786,40498,NA,NA,NA,0.182798053527981,0.262068126520681,0.555133819951338
"8","VIC",2021-08-29,88,4852288,85806,0.575714286,0.042857143,0.381428571,0.200598958333333,0.264505208333333,0.534895833333333
"9","VIC",2021-08-28,64,4766482,73938,NA,NA,NA,0.221171875,0.2497265625,0.5291015625
"10","VIC",2021-08-27,79,4692544,50982,NA,NA,NA,0.202391304347826,0.290496894409938,0.507111801242236
"11","VIC",2021-08-26,79,4641562,79319,NA,NA,NA,0.193368146214099,0.308198433420366,0.498433420365535
"12","VIC",2021-08-25,45,4562243,74099,0.71,0.056666667,0.233333333,0.21625,0.297731481481481,0.486018518518519
"13","VIC",2021-08-24,48,4488144,67982,NA,NA,NA,0.21,0.211538461538462,0.578461538461538
"14","VIC",2021-08-23,65,4420162,35134,0.4625,0.0475,0.49,0.375,0.25,0.375
"15","VIC",2021-08-22,65,4385028,49457,0.548333333,0.101666667,0.35,0.170666666666667,0.117333333333333,0.712
"16","VIC",2021-08-21,61,4335571,70698,0.33,0.035,0.635,0.180769230769231,0.383076923076923,0.436153846153846
"17","VIC",2021-08-20,56,4264873,70648,NA,NA,NA,0.162,0.285333333333333,0.552666666666667
"18","VIC",2021-08-19,57,4194225,68734,0.4525,0.0525,0.495,0.278461538461538,0.226923076923077,0.494615384615385
"19","VIC",2021-08-18,24,4125491,63740,0.53,0.0625,0.4075,0.134,0.028,0.838
"20","VIC",2021-08-17,24,4061751,79810,0.2,0.06,0.74,0.4225,0.03,0.5475
"21","VIC",2021-08-16,22,3981941,0,0.3025,0.0425,0.655,0.301538461538462,0.182307692307692,0.516153846153846
"22","VIC",2021-08-15,25,4012922,42848,0.435,0.0425,0.5225,0.178,0.293333333333333,0.528666666666667
"23","VIC",2021-08-14,21,3970074,65193,0.51,0.096666667,0.393333333,0.144705882352941,0.193529411764706,0.661764705882353
"24","VIC",2021-08-13,15,3904881,64266,0.7275,0.05,0.2225,0.2128,0.2072,0.58
"25","VIC",2021-08-12,23,3840615,61606,0.56,0.0325,0.4075,0.28,0.266470588235294,0.453529411764706
"26","VIC",2021-08-11,20,3779009,55469,0.4675,0.06375,0.46875,0.0571428571428571,0.271428571428571,0.671428571428571
"27","VIC",2021-08-10,20,3723540,57536,0.43,0.265,0.305,0.208181818181818,0.363636363636364,0.428181818181818
"28","VIC",2021-08-09,11,3666004,25225,0.435,0.045,0.52,0.596,0.156666666666667,0.247333333333333
"29","VIC",2021-08-08,12,3640779,32443,0.6625,0.055,0.2825,0.29952380952381,0.208095238095238,0.492380952380952
"30","VIC",2021-08-07,29,3608336,50115,0.525,0.065,0.41,0.053,0.384,0.563
"31","VIC",2021-08-06,6,3558221,48738,NA,NA,NA,0.236666666666667,0.216666666666667,0.546666666666667
"32","VIC",2021-08-05,6,3509483,45939,0.5375,0.0575,0.405,0.137333333333333,0.314,0.548666666666667
"33","VIC",2021-08-04,1,3463544,41767,0.52,0.046666667,0.433333333,0.338888888888889,0.275555555555556,0.385555555555556
"34","VIC",2021-08-03,5,3421777,45236,0.35,0.0275,0.6225,0.18,0.30125,0.51875
"35","VIC",2021-08-02,2,3376541,19507,NA,NA,NA,0.196,0.387,0.417
"36","VIC",2021-08-01,4,3357034,28288,NA,NA,NA,0.204285714285714,0.255714285714286,0.54
"37","VIC",2021-07-31,2,3328746,45280,NA,NA,NA,0.252727272727273,0.446363636363636,0.300909090909091
"38","VIC",2021-07-30,3,3283466,45938,NA,NA,NA,0.328333333333333,0.305,0.366666666666667
"39","VIC",2021-07-29,7,3237528,43603,NA,NA,NA,0.3625,0.0933333333333333,0.544166666666667
"40","VIC",2021-07-28,8,3193925,43123,NA,NA,NA,0.6375,0.3575,0.005
"41","VIC",2021-07-27,10,3150802,48341,NA,NA,NA,0.0433333333333333,0.383333333333333,0.573333333333333
"42","VIC",2021-07-26,12,3102461,21528,NA,NA,NA,0.04,0,0.96
"43","VIC",2021-07-25,12,3080933,28442,NA,NA,NA,0.145,0,0.855
"44","VIC",2021-07-24,12,3052491,44179,NA,NA,NA,0.334545454545455,0.282727272727273,0.382727272727273
"45","VIC",2021-07-23,14,3008312,47503,NA,NA,NA,0.484285714285714,0.175714285714286,0.34
"46","VIC",2021-07-22,27,2960809,46459,NA,NA,NA,0.0830769230769231,0.179230769230769,0.737692307692308
"47","VIC",2021-07-21,23,2914350,37251,NA,NA,NA,0.121666666666667,0.346666666666667,0.531666666666667
"48","VIC",2021-07-20,15,2877099,45529,NA,NA,NA,0.2175,0.491666666666667,0.290833333333333
"49","VIC",2021-07-19,14,2831570,16744,NA,NA,NA,0.27,0.4025,0.3275
"50","VIC",2021-07-18,18,2814826,24857,NA,NA,NA,0.0125,0.525,0.4625
"51","VIC",2021-07-17,20,2789969,39228,NA,NA,NA,0.176666666666667,0.126666666666667,0.696666666666667
"52","VIC",2021-07-16,10,2750741,37590,NA,NA,NA,0.0891666666666667,0.3225,0.588333333333333
"53","VIC",2021-07-15,10,2713151,35575,NA,NA,NA,0.189285714285714,0.282857142857143,0.527857142857143
"54","VIC",2021-07-14,2,2677576,32415,NA,NA,NA,0.235,0.0958333333333333,0.669166666666667
"55","VIC",2021-07-13,3,2645161,40041,NA,NA,NA,0.556666666666667,0.206666666666667,0.236666666666667
"56","VIC",2021-07-12,0,2605120,14792,NA,NA,NA,0,0.025,0.975
"57","VIC",2021-07-11,0,2590328,20188,NA,NA,NA,0.28,0.106666666666667,0.613333333333333
"58","VIC",2021-07-10,3,2570140,31914,NA,NA,NA,0.18,0.81,0.01
"59","VIC",2021-07-09,1,2538226,34287,NA,NA,NA,0.327142857142857,0.387142857142857,0.285714285714286
"60","VIC",2021-07-08,0,2503939,24104,NA,NA,NA,0.156,0.339,0.505
"61","VIC",2021-07-07,0,2479835,44194,NA,NA,NA,0.02,0.161428571428571,0.818571428571429
"62","VIC",2021-07-06,2,2435641,41403,NA,NA,NA,0.99,0.01,0
"63","VIC",2021-07-05,2,2394238,14443,NA,NA,NA,0.433333333333333,0.336666666666667,0.23
"64","VIC",2021-07-04,1,2379795,19384,NA,NA,NA,0.225,0.285,0.49
"65","VIC",2021-07-03,0,2360411,36854,NA,NA,NA,0.296666666666667,0.225555555555556,0.477777777777778
"66","VIC",2021-07-02,3,2323557,37463,NA,NA,NA,0.268,0.416,0.316
"67","VIC",2021-07-01,0,2286094,38628,NA,NA,NA,0.99,0.01,0
"68","VIC",2021-06-30,2,2247466,35102,NA,NA,NA,NA,NA,NA
"69","VIC",2021-06-29,2,2212364,39490,NA,NA,NA,NA,NA,NA
"70","VIC",2021-06-28,2,2172874,14727,NA,NA,NA,NA,NA,NA
"71","VIC",2021-06-27,2,2158147,17679,NA,NA,NA,NA,NA,NA
"72","VIC",2021-06-26,3,2140468,33734,NA,NA,NA,NA,NA,NA
"73","VIC",2021-06-25,2,2106734,35730,NA,NA,NA,NA,NA,NA
"74","VIC",2021-06-24,3,2071004,38301,NA,NA,NA,NA,NA,NA
"75","VIC",2021-06-23,1,2032703,41061,NA,NA,NA,NA,NA,NA
"76","VIC",2021-06-22,1,1991642,36498,NA,NA,NA,NA,NA,NA
"77","VIC",2021-06-21,8,1955144,12577,NA,NA,NA,NA,NA,NA
"78","VIC",2021-06-20,1,1942567,18382,NA,NA,NA,NA,NA,NA
"79","VIC",2021-06-19,3,1924185,36662,NA,NA,NA,NA,NA,NA
"80","VIC",2021-06-18,2,1887523,40118,NA,NA,NA,NA,NA,NA
"81","VIC",2021-06-17,1,1847405,40463,NA,NA,NA,NA,NA,NA
"82","VIC",2021-06-16,8,1806942,51093,NA,NA,NA,NA,NA,NA
"83","VIC",2021-06-15,3,1755849,10602,NA,NA,NA,NA,NA,NA
"84","VIC",2021-06-14,6,1745247,17435,NA,NA,NA,NA,NA,NA
"85","VIC",2021-06-13,1,1727812,23222,NA,NA,NA,NA,NA,NA
"86","VIC",2021-06-12,4,1704590,43882,NA,NA,NA,NA,NA,NA
"87","VIC",2021-06-11,1,1660708,50637,NA,NA,NA,NA,NA,NA
"88","VIC",2021-06-10,4,1610071,51347,NA,NA,NA,NA,NA,NA
"89","VIC",2021-06-09,1,1558724,47260,NA,NA,NA,NA,NA,NA
"90","VIC",2021-06-08,3,1511464,49267,NA,NA,NA,NA,NA,NA
"91","VIC",2021-06-07,11,1462197,42581,NA,NA,NA,NA,NA,NA
"92","VIC",2021-06-06,8,1419616,42365,NA,NA,NA,NA,NA,NA
"93","VIC",2021-06-05,5,1377251,52102,NA,NA,NA,NA,NA,NA
"94","VIC",2021-06-04,6,1325149,48215,NA,NA,NA,NA,NA,NA
"95","VIC",2021-06-03,3,1276934,50710,NA,NA,NA,NA,NA,NA
"96","VIC",2021-06-02,6,1226224,51176,NA,NA,NA,NA,NA,NA
"97","VIC",2021-06-01,10,1175048,40389,NA,NA,NA,NA,NA,NA
"98","VIC",2021-05-31,5,1134659,20909,NA,NA,NA,NA,NA,NA
"99","VIC",2021-05-30,6,1113750,27448,NA,NA,NA,NA,NA,NA
"100","VIC",2021-05-29,6,1086302,43458,NA,NA,NA,NA,NA,NA
"101","VIC",2021-05-28,6,1042844,41389,NA,NA,NA,NA,NA,NA
"102","VIC",2021-05-27,12,1001455,30426,NA,NA,NA,NA,NA,NA
"103","VIC",2021-05-26,10,971029,30498,NA,NA,NA,NA,NA,NA
"104","VIC",2021-05-25,4,940531,11424,NA,NA,NA,NA,NA,NA
"105","VIC",2021-05-24,1,929107,4964,NA,NA,NA,NA,NA,NA
"106","VIC",2021-05-23,1,924143,9175,NA,NA,NA,NA,NA,NA
"107","VIC",2021-05-22,0,914968,21741,NA,NA,NA,NA,NA,NA
"108","VIC",2021-05-21,0,893227,26553,NA,NA,NA,NA,NA,NA
"109","VIC",2021-05-20,0,866674,24961,NA,NA,NA,NA,NA,NA
"110","VIC",2021-05-19,1,841713,25162,NA,NA,NA,NA,NA,NA
"111","VIC",2021-05-18,0,816551,24217,NA,NA,NA,NA,NA,NA
"112","VIC",2021-05-17,1,792334,4370,NA,NA,NA,NA,NA,NA
"113","VIC",2021-05-16,4,787964,7667,NA,NA,NA,NA,NA,NA
"114","VIC",2021-05-15,1,780297,19954,NA,NA,NA,NA,NA,NA
"115","VIC",2021-05-14,1,760343,21895,NA,NA,NA,NA,NA,NA
"116","VIC",2021-05-13,1,738448,23393,NA,NA,NA,NA,NA,NA
"117","VIC",2021-05-12,1,715055,19769,NA,NA,NA,NA,NA,NA
"118","VIC",2021-05-11,1,695286,22044,NA,NA,NA,NA,NA,NA
"119","VIC",2021-05-10,2,673242,3213,NA,NA,NA,NA,NA,NA
"120","VIC",2021-05-09,5,670029,7956,NA,NA,NA,NA,NA,NA
"121","VIC",2021-05-08,1,662073,18528,NA,NA,NA,NA,NA,NA
"122","VIC",2021-05-07,0,643545,24564,NA,NA,NA,NA,NA,NA
"123","VIC",2021-05-06,2,618981,22537,NA,NA,NA,NA,NA,NA
"124","VIC",2021-05-05,0,596444,23867,NA,NA,NA,NA,NA,NA
"125","VIC",2021-05-04,1,572577,19155,NA,NA,NA,NA,NA,NA
"126","VIC",2021-05-03,1,553422,2281,NA,NA,NA,NA,NA,NA
