state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative
VIC,5/09/2021,183,5279160,0,NA,NA,NA
VIC,4/09/2021,189,5279160,79351,NA,NA,NA
VIC,3/09/2021,208,5199809,78632,NA,NA,NA
VIC,2/09/2021,175,5121177,81683,NA,NA,NA
VIC,1/09/2021,119,5039494,105018,NA,NA,NA
VIC,31/08/2021,73,4934476,41690,NA,NA,NA
VIC,30/08/2021,72,4892786,40498,NA,NA,NA
VIC,29/08/2021,88,4852288,85806,0.575714286,0.042857143,0.381428571
VIC,28/08/2021,64,4766482,73938,NA,NA,NA
VIC,27/08/2021,79,4692544,50982,NA,NA,NA
VIC,26/08/2021,79,4641562,79319,NA,NA,NA
VIC,25/08/2021,45,4562243,74099,0.71,0.056666667,0.233333333
VIC,24/08/2021,48,4488144,67982,NA,NA,NA
VIC,23/08/2021,65,4420162,35134,0.4625,0.0475,0.49
VIC,22/08/2021,65,4385028,49457,0.548333333,0.101666667,0.35
VIC,21/08/2021,61,4335571,70698,0.33,0.035,0.635
VIC,20/08/2021,56,4264873,70648,NA,NA,NA
VIC,19/08/2021,57,4194225,68734,0.4525,0.0525,0.495
VIC,18/08/2021,24,4125491,63740,0.53,0.0625,0.4075
VIC,17/08/2021,24,4061751,79810,0.2,0.06,0.74
VIC,16/08/2021,22,3981941,0,0.3025,0.0425,0.655
VIC,15/08/2021,25,4012922,42848,0.435,0.0425,0.5225
VIC,14/08/2021,21,3970074,65193,0.51,0.096666667,0.393333333
VIC,13/08/2021,15,3904881,64266,0.7275,0.05,0.2225
VIC,12/08/2021,23,3840615,61606,0.56,0.0325,0.4075
VIC,11/08/2021,20,3779009,55469,0.4675,0.06375,0.46875
VIC,10/08/2021,20,3723540,57536,0.43,0.265,0.305
VIC,9/08/2021,11,3666004,25225,0.435,0.045,0.52
VIC,8/08/2021,12,3640779,32443,0.6625,0.055,0.2825
VIC,7/08/2021,29,3608336,50115,0.525,0.065,0.41
VIC,6/08/2021,6,3558221,48738,NA,NA,NA
VIC,5/08/2021,6,3509483,45939,0.5375,0.0575,0.405
VIC,4/08/2021,1,3463544,41767,0.52,0.046666667,0.433333333
VIC,3/08/2021,5,3421777,45236,0.35,0.0275,0.6225
VIC,2/08/2021,2,3376541,19507,NA,NA,NA
VIC,1/08/2021,4,3357034,28288,NA,NA,NA
VIC,31/07/2021,2,3328746,45280,NA,NA,NA
VIC,30/07/2021,3,3283466,45938,NA,NA,NA
VIC,29/07/2021,7,3237528,43603,NA,NA,NA
VIC,28/07/2021,8,3193925,43123,NA,NA,NA
VIC,27/07/2021,10,3150802,48341,NA,NA,NA
VIC,26/07/2021,12,3102461,21528,NA,NA,NA
VIC,25/07/2021,12,3080933,28442,NA,NA,NA
VIC,24/07/2021,12,3052491,44179,NA,NA,NA
VIC,23/07/2021,14,3008312,47503,NA,NA,NA
VIC,22/07/2021,27,2960809,46459,NA,NA,NA
VIC,21/07/2021,23,2914350,37251,NA,NA,NA
VIC,20/07/2021,15,2877099,45529,NA,NA,NA
VIC,19/07/2021,14,2831570,16744,NA,NA,NA
VIC,18/07/2021,18,2814826,24857,NA,NA,NA
VIC,17/07/2021,20,2789969,39228,NA,NA,NA
VIC,16/07/2021,10,2750741,37590,NA,NA,NA
VIC,15/07/2021,10,2713151,35575,NA,NA,NA
VIC,14/07/2021,2,2677576,32415,NA,NA,NA
VIC,13/07/2021,3,2645161,40041,NA,NA,NA
VIC,12/07/2021,0,2605120,14792,NA,NA,NA
VIC,11/07/2021,0,2590328,20188,NA,NA,NA
VIC,10/07/2021,3,2570140,31914,NA,NA,NA
VIC,9/07/2021,1,2538226,34287,NA,NA,NA
VIC,8/07/2021,0,2503939,24104,NA,NA,NA
VIC,7/07/2021,0,2479835,44194,NA,NA,NA
VIC,6/07/2021,2,2435641,41403,NA,NA,NA
VIC,5/07/2021,2,2394238,14443,NA,NA,NA
VIC,4/07/2021,1,2379795,19384,NA,NA,NA
VIC,3/07/2021,0,2360411,36854,NA,NA,NA
VIC,2/07/2021,3,2323557,37463,NA,NA,NA
VIC,1/07/2021,0,2286094,38628,NA,NA,NA
VIC,30/06/2021,2,2247466,35102,NA,NA,NA
VIC,29/06/2021,2,2212364,39490,NA,NA,NA
VIC,28/06/2021,2,2172874,14727,NA,NA,NA
VIC,27/06/2021,2,2158147,17679,NA,NA,NA
VIC,26/06/2021,3,2140468,33734,NA,NA,NA
VIC,25/06/2021,2,2106734,35730,NA,NA,NA
VIC,24/06/2021,3,2071004,38301,NA,NA,NA
VIC,23/06/2021,1,2032703,41061,NA,NA,NA
VIC,22/06/2021,1,1991642,36498,NA,NA,NA
VIC,21/06/2021,8,1955144,12577,NA,NA,NA
VIC,20/06/2021,1,1942567,18382,NA,NA,NA
VIC,19/06/2021,3,1924185,36662,NA,NA,NA
VIC,18/06/2021,2,1887523,40118,NA,NA,NA
VIC,17/06/2021,1,1847405,40463,NA,NA,NA
VIC,16/06/2021,8,1806942,51093,NA,NA,NA
VIC,15/06/2021,3,1755849,10602,NA,NA,NA
VIC,14/06/2021,6,1745247,17435,NA,NA,NA
VIC,13/06/2021,1,1727812,23222,NA,NA,NA
VIC,12/06/2021,4,1704590,43882,NA,NA,NA
VIC,11/06/2021,1,1660708,50637,NA,NA,NA
VIC,10/06/2021,4,1610071,51347,NA,NA,NA
VIC,9/06/2021,1,1558724,47260,NA,NA,NA
VIC,8/06/2021,3,1511464,49267,NA,NA,NA
VIC,7/06/2021,11,1462197,42581,NA,NA,NA
VIC,6/06/2021,8,1419616,42365,NA,NA,NA
VIC,5/06/2021,5,1377251,52102,NA,NA,NA
VIC,4/06/2021,6,1325149,48215,NA,NA,NA
VIC,3/06/2021,3,1276934,50710,NA,NA,NA
VIC,2/06/2021,6,1226224,51176,NA,NA,NA
VIC,1/06/2021,10,1175048,40389,NA,NA,NA
VIC,31/05/2021,5,1134659,20909,NA,NA,NA
VIC,30/05/2021,6,1113750,27448,NA,NA,NA
VIC,29/05/2021,6,1086302,43458,NA,NA,NA
VIC,28/05/2021,6,1042844,41389,NA,NA,NA
VIC,27/05/2021,12,1001455,30426,NA,NA,NA
VIC,26/05/2021,10,971029,30498,NA,NA,NA
VIC,25/05/2021,4,940531,11424,NA,NA,NA
VIC,24/05/2021,1,929107,4964,NA,NA,NA
VIC,23/05/2021,1,924143,9175,NA,NA,NA
VIC,22/05/2021,0,914968,21741,NA,NA,NA
VIC,21/05/2021,0,893227,26553,NA,NA,NA
VIC,20/05/2021,0,866674,24961,NA,NA,NA
VIC,19/05/2021,1,841713,25162,NA,NA,NA
VIC,18/05/2021,0,816551,24217,NA,NA,NA
VIC,17/05/2021,1,792334,4370,NA,NA,NA
VIC,16/05/2021,4,787964,7667,NA,NA,NA
VIC,15/05/2021,1,780297,19954,NA,NA,NA
VIC,14/05/2021,1,760343,21895,NA,NA,NA
VIC,13/05/2021,1,738448,23393,NA,NA,NA
VIC,12/05/2021,1,715055,19769,NA,NA,NA
VIC,11/05/2021,1,695286,22044,NA,NA,NA
VIC,10/05/2021,2,673242,3213,NA,NA,NA
VIC,9/05/2021,5,670029,7956,NA,NA,NA
VIC,8/05/2021,1,662073,18528,NA,NA,NA
VIC,7/05/2021,0,643545,24564,NA,NA,NA
VIC,6/05/2021,2,618981,22537,NA,NA,NA
VIC,5/05/2021,0,596444,23867,NA,NA,NA
VIC,4/05/2021,1,572577,19155,NA,NA,NA
VIC,3/05/2021,1,553422,2281,NA,NA,NA
VIC,2/05/2021,1,551141,4964,NA,NA,NA
VIC,1/05/2021,3,546177,12503,NA,NA,NA
VIC,30/04/2021,2,533674,16805,NA,NA,NA
VIC,29/04/2021,1,516869,20489,NA,NA,NA
VIC,28/04/2021,2,496380,17195,NA,NA,NA
VIC,27/04/2021,4,479185,11854,NA,NA,NA
VIC,26/04/2021,0,467331,1109,NA,NA,NA
VIC,25/04/2021,1,466222,6376,NA,NA,NA
