...1,state,date,daily_newcase,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative,avr_positive_tweet_sentiment.x,avr_neutral_tweet_sentiment.x,avr_negative_tweet_sentiment.x,avr_positive_tweet_sentiment.y,avr_neutral_tweet_sentiment.y,avr_negative_tweet_sentiment.y,tweet_total,total_doses,daily_doses
141,NSW,2021-08-01,241,0.342,0.031,0.627,0.181363636,0.399090909,0.419545455,0.181363636,0.399090909,0.419545455,22,3917611,45831
142,QLD,2021-08-01,9,0.34,0.053333333,0.606666667,0.215714286,0.042857143,0.741428571,0.215714286,0.042857143,0.741428571,7,2310240,13563
144,VIC,2021-08-01,4,NA,NA,NA,0.204285714,0.255714286,0.54,0.204285714,0.255714286,0.54,7,3357034,28288
137,NSW,2021-08-02,209,0.35,0.03,0.62,0.092666667,0.186,0.721333333,0.092666667,0.186,0.721333333,15,3943499,25888
138,QLD,2021-08-02,15,0.444285714,0.077142857,0.478571429,0.01,0.14,0.85,0.01,0.14,0.85,1,2318381,8141
140,VIC,2021-08-02,2,NA,NA,NA,0.196,0.387,0.417,0.196,0.387,0.417,10,3376541,19507
133,NSW,2021-08-03,202,0.361,0.039,0.6,0.377857143,0.331428571,0.290714286,0.377857143,0.331428571,0.290714286,14,4028122,84623
134,QLD,2021-08-03,16,0.47375,0.075,0.45125,0.18,0.56,0.26,0.18,0.56,0.26,4,2353085,34704
136,VIC,2021-08-03,5,0.35,0.0275,0.6225,0.18,0.30125,0.51875,0.18,0.30125,0.51875,8,3421777,45236
129,NSW,2021-08-04,234,0.278181818,0.040909091,0.680909091,0.34,0.04,0.62,0.34,0.04,0.62,4,4112667,84545
130,QLD,2021-08-04,19,0.50375,0.08125,0.415,0.2,0.2875,0.5125,0.2,0.2875,0.5125,4,2397360,44275
132,VIC,2021-08-04,1,0.52,0.046666667,0.433333333,0.338888889,0.275555556,0.385555556,0.338888889,0.275555556,0.385555556,9,3463544,41767
125,NSW,2021-08-05,268,0.360909091,0.047272727,0.591818182,0.08,0.59,0.33,0.08,0.59,0.33,5,4196287,83620
126,QLD,2021-08-05,27,0.562,0.042,0.396,0.224,0.248,0.528,0.224,0.248,0.528,5,2444845,47485
128,VIC,2021-08-05,6,0.5375,0.0575,0.405,0.137333333,0.314,0.548666667,0.137333333,0.314,0.548666667,15,3509483,45939
121,NSW,2021-08-06,291,0.324,0.046,0.63,0.015,0.40125,0.58375,0.015,0.40125,0.58375,8,4289913,93626
122,QLD,2021-08-06,10,0.562,0.042,0.396,0.28,0.06,0.66,0.28,0.06,0.66,3,2494802,49957
124,VIC,2021-08-06,6,NA,NA,NA,0.236666667,0.216666667,0.546666667,0.236666667,0.216666667,0.546666667,9,3558221,48738
117,NSW,2021-08-07,321,0.207,0.027,0.766,0.10875,0.18125,0.71,0.10875,0.18125,0.71,8,4379412,89499
118,QLD,2021-08-07,13,0.4475,0.0825,0.47,0.006666667,0.04,0.953333333,0.006666667,0.04,0.953333333,3,2540849,46047
120,VIC,2021-08-07,29,0.525,0.065,0.41,0.053,0.384,0.563,0.053,0.384,0.563,10,3608336,50115
113,NSW,2021-08-08,268,0.474285714,0.058571429,0.467142857,0.176666667,0.248888889,0.574444444,0.176666667,0.248888889,0.574444444,9,4437729,58317
114,QLD,2021-08-08,9,0.482857143,0.08,0.437142857,0.31,0.1775,0.5125,0.31,0.1775,0.5125,8,2563018,22169
116,VIC,2021-08-08,12,0.6625,0.055,0.2825,0.29952381,0.208095238,0.492380952,0.29952381,0.208095238,0.492380952,21,3640779,32443
109,NSW,2021-08-09,285,0.51375,0.0325,0.45375,0.377777778,0.133333333,0.488888889,0.377777778,0.133333333,0.488888889,9,4463212,25483
110,QLD,2021-08-09,5,0.598333333,0.075,0.326666667,0.065,0.4675,0.4675,0.065,0.4675,0.4675,4,2574040,11022
112,VIC,2021-08-09,11,0.435,0.045,0.52,0.596,0.156666667,0.247333333,0.596,0.156666667,0.247333333,15,3666004,25225
105,NSW,2021-08-10,360,0.368181818,0.042727273,0.589090909,0.274285714,0.294285714,0.431428571,0.274285714,0.294285714,0.431428571,7,4561456,98244
106,QLD,2021-08-10,3,0.568571429,0.072857143,0.358571429,0.04,0.445,0.515,0.04,0.445,0.515,2,2611978,37938
108,VIC,2021-08-10,20,0.43,0.265,0.305,0.208181818,0.363636364,0.428181818,0.208181818,0.363636364,0.428181818,11,3723540,57536
101,NSW,2021-08-11,344,0.473636364,0.042727273,0.483636364,0.404444444,0.512222222,0.083333333,0.404444444,0.512222222,0.083333333,9,4668048,106592
102,QLD,2021-08-11,4,0.666,0.044,0.29,0.1775,0.4525,0.37,0.1775,0.4525,0.37,4,2659429,47451
104,VIC,2021-08-11,20,0.4675,0.06375,0.46875,0.057142857,0.271428571,0.671428571,0.057142857,0.271428571,0.671428571,7,3779009,55469
97,NSW,2021-08-12,347,0.252307692,0.033846154,0.713846154,0.333333333,0.365555556,0.301111111,0.333333333,0.365555556,0.301111111,9,4773112,105064
98,QLD,2021-08-12,11,0.5425,0.0425,0.415,0.295,0.36,0.345,0.295,0.36,0.345,6,2706120,46691
100,VIC,2021-08-12,23,0.56,0.0325,0.4075,0.28,0.266470588,0.453529412,0.28,0.266470588,0.453529412,17,3840615,61606
93,NSW,2021-08-13,391,0.286923077,0.031538462,0.681538462,0.183846154,0.184615385,0.631538462,0.183846154,0.184615385,0.631538462,13,4879443,106331
94,QLD,2021-08-13,8,0.56,0.042,0.398,NA,NA,NA,NA,NA,NA,NA,2754935,48815
96,VIC,2021-08-13,15,0.7275,0.05,0.2225,0.2128,0.2072,0.58,0.2128,0.2072,0.58,25,3904881,64266
89,NSW,2021-08-14,467,0.320909091,0.037272727,0.641818182,0.311764706,0.207647059,0.480588235,0.311764706,0.207647059,0.480588235,17,4985038,105595
90,QLD,2021-08-14,7,0.732,0.034,0.234,0.125,0.47,0.405,0.125,0.47,0.405,2,2801356,46421
92,VIC,2021-08-14,21,0.51,0.096666667,0.393333333,0.144705882,0.193529412,0.661764706,0.144705882,0.193529412,0.661764706,17,3970074,65193
85,NSW,2021-08-15,417,0.388888889,0.027777778,0.583333333,0.213636364,0.34,0.446363636,0.213636364,0.34,0.446363636,11,5050672,65634
86,QLD,2021-08-15,1,0.732,0.034,0.234,0.005,0.02,0.975,0.005,0.02,0.975,2,2826160,24804
88,VIC,2021-08-15,25,0.435,0.0425,0.5225,0.178,0.293333333,0.528666667,0.178,0.293333333,0.528666667,15,4012922,42848
81,NSW,2021-08-16,480,0.366363636,0.040909091,0.592727273,0.168125,0.35,0.481875,0.168125,0.35,0.481875,16,5170324,119652
82,QLD,2021-08-16,0,0.478571429,0.032857143,0.488571429,0,0.01,0.99,0,0.01,0.99,2,2837758,11598
84,VIC,2021-08-16,22,0.3025,0.0425,0.655,0.301538462,0.182307692,0.516153846,0.301538462,0.182307692,0.516153846,13,4037336,61329
77,NSW,2021-08-17,454,0.295833333,0.034166667,0.67,0.518888889,0.188888889,0.292222222,0.518888889,0.188888889,0.292222222,9,5276446,106122
78,QLD,2021-08-17,2,0.6925,0.02,0.2875,0.04,0.265,0.695,0.04,0.265,0.695,2,2876133,38375
80,VIC,2021-08-17,24,0.2,0.06,0.74,0.4225,0.03,0.5475,0.4225,0.03,0.5475,4,4061751,79810
