state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative,avr_positive_tweet_sentiment,avr_neutral_tweet_sentiment,avr_negative_tweet_sentiment
NSW,5/09/2021,1487,7374708,0,NA,NA,NA,NA,NA,NA
QLD,5/09/2021,1,3636463,0,NA,NA,NA,NA,NA,NA
TAS,5/09/2021,0,471297,0,NA,NA,NA,NA,NA,NA
VIC,5/09/2021,183,5279160,0,NA,NA,NA,NA,NA,NA
NSW,4/09/2021,1534,7374708,129258,NA,NA,NA,NA,NA,NA
QLD,4/09/2021,2,3636463,46663,NA,NA,NA,NA,NA,NA
TAS,4/09/2021,0,471297,5407,NA,NA,NA,NA,NA,NA
VIC,4/09/2021,189,5279160,79351,NA,NA,NA,NA,NA,NA
NSW,3/09/2021,1432,7245450,114726,NA,NA,NA,NA,NA,NA
QLD,3/09/2021,0,3589800,49750,NA,NA,NA,NA,NA,NA
TAS,3/09/2021,0,465890,5489,NA,NA,NA,NA,NA,NA
VIC,3/09/2021,208,5199809,78632,NA,NA,NA,NA,NA,NA
NSW,2/09/2021,1288,7130724,139914,NA,NA,NA,NA,NA,NA
QLD,2/09/2021,2,3540050,48933,NA,NA,NA,NA,NA,NA
TAS,2/09/2021,0,460401,5896,NA,NA,NA,NA,NA,NA
VIC,2/09/2021,175,5121177,81683,NA,NA,NA,NA,NA,NA
NSW,1/09/2021,1118,6990810,121170,NA,NA,NA,0.195555556,0.329753086,0.474691358
QLD,1/09/2021,1,3491117,46359,NA,NA,NA,0.156296296,0.338888889,0.504814815
TAS,1/09/2021,0,454505,6345,NA,NA,NA,NA,NA,NA
VIC,1/09/2021,119,5039494,105018,NA,NA,NA,0.237682927,0.288292683,0.47402439
NSW,31/08/2021,1168,6869640,148297,NA,NA,NA,0.186888889,0.284952381,0.52815873
QLD,31/08/2021,0,3444758,34616,NA,NA,NA,0.208558559,0.279189189,0.512252252
TAS,31/08/2021,0,448160,5159,NA,NA,NA,0.414444444,0.163333333,0.422222222
VIC,31/08/2021,73,4934476,41690,NA,NA,NA,0.158480663,0.245055249,0.596464088
